wei2yi1|唯一
ru2ci3|如此
ken3ding4|肯定
you3guan1|有关
kong4zhi4|控制
zu3zhi1|组织
yong1you3|拥有
zui4zhong1|最终
bu4zai4|不再
si3wang2|死亡
zai4ci4|再次
fang4qi4|放弃
ji2shi3|即使
jin3guan3|尽管
tou2piao4|投票
ke4hu4|客户
ju1ran2|居然
fen1xi1|分析
xiang3shou4|享受
fan4zui4|犯罪
guan1jian4|关键
guan4jun1|冠军
hui1fu4|恢复
tong2zhi4|同志
yi4shi2|意识
yi1dan4|一旦
zhi2xing2|执行
fen1xiang3|分享
er2yi3|而已
nü3xing4|女性
zhi1lei4|之类
tao3yan4|讨厌
ren2wu4|人物
ju4jue2|拒绝
dui4wu3|队伍
bu4zhi1|不知
ying1xiong2|英雄
xie2yi4|协议
wei1xie2|威胁
gong1ji1|攻击
jing4zheng1|竞争
gu1ji4|估计
yi4wei4zhe5|意味着
ju4le4bu4|俱乐部
yun3xu3|允许
cuo4guo4|错过
suo3wei4|所谓
an4jian4|案件
zhi1zhong1|之中
kong3bu4|恐怖
zi4wo3|自我
jian4zhu4|建筑
feng1kuang2|疯狂
wei3yuan2hui4|委员会
you3suo3|有所
yao1qing3|邀请
jia1shang4|加上
pai1she4|拍摄
qu1yu4|区域
nan2yi3|难以
shuo1shi2hua4|说实话
shi2shang4|时尚
jia1huo5|家伙
bao4zha4|爆炸
zhan3shi4|展示
ji1di4|基地
qing2xu4|情绪
zhang3wo4|掌握
zui4jia1|最佳
ji4yi4|记忆
sheng4xia4|剩下
jun1dui4|军队
ji1jin1|基金
she4qu1|社区
shou3duan4|手段
xue2hui4|学会
yi2han4|遗憾
bu4dui4|部队
jie1chu4|接触
cong1ming5|聪明
li4hai5|厉害
zun1zhong4|尊重
sun3shi1|损失
ke3lian2|可怜
wei4he2|为何
zhong1yang1|中央
xi2ji1|袭击
cheng2nuo4|承诺
gan3ran3|感染
qi3dong4|启动
nian2ling2|年龄
yi1yi1|一一
suan4shi4|算是
ke3xi1|可惜
hui2yi4|回忆
hun1yin1|婚姻
da3ji1|打击
zhi1wai4|之外
shu2xi1|熟悉
shi2qi1|时期
hao3yun4|好运
sheng1wu4|生物
ren2shi4|人士
ji2tuan2|集团
wei2zhi3|为止
bi3ci3|彼此
tui1jian4|推荐
pin3pai2|品牌
shi4pin2|视频
zhen1xiang4|真相
zan4shi2|暂时
jing1xi3|惊喜
you3zhe5|有着
bing4du2|病毒
quan2li4|权力
hao2wu2|毫无
chang2shi4|尝试
ji2bing4|疾病
zi3xi4|仔细
yu2le4|娱乐
ming4ling4|命令
xin1shang3|欣赏
zheng4ce4|政策
shen2jing1|神经
gao1du4|高度
fa3ting2|法庭
yi1bei4zi5|一辈子
quan2shi4jie4|全世界
lian2meng2|联盟
shuo1fa3|说法
ping2lun4|评论
wu4zhi4|物质
yi2shi4|仪式
neng2fou3|能否
jin4gong1|进攻
zai4shuo1|再说
you2qi2|尤其
bing4fei1|并非
fei1fa3|非法
ben3shen1|本身
shang4di4|上帝
shi2guang1|时光
bu4jian4|不见
bo2shi4|博士
huo4shi4|或是
lang4man4|浪漫
qiu2yuan2|球员
dao4de2|道德
bian1ji2|编辑
si1ren2|私人
xin1ku3|辛苦
zheng4shi2|证实
yi1lu4|一路
yao4me5|要么
ling3yu4|领域
jiang1jun1|将军
tou4lu4|透露
bi4jing4|毕竟
gong1xi3|恭喜
shi1ti3|尸体
lian4ai4|恋爱
tuan2dui4|团队
zhi3bu5guo4|只不过
ge1qu3|歌曲
mo2shi4|模式
yi4chang2|异常
dang4an4|档案
xie2hui4|协会
xi4bao1|细胞
yi1mian4|一面
zheng4zhuang4|症状
shi4tu2|试图
huan4zhe3|患者
jun1shi4|军事
fen3si1|粉丝
zhi4yu2|至于
suo3zai4|所在
dai4kuan3|贷款
que1fa2|缺乏
ling2chen2|凌晨
ta1ren2|他人
tao2tai4|淘汰
gong1zhong4|公众
shi4fang4|释放
huo4sheng4|获胜
da2cheng2|达成
gu3li4|鼓励
dan4gao1|蛋糕
ben3ren2|本人
xin1zang4|心脏
hou4hui3|后悔
dou4zheng1|斗争
jia1zu2|家族
mei4li4|魅力
ji3yu3|给予
wu3dao3|舞蹈
tu1po4|突破
pi1zhun3|批准
kong1jian1|空间
xian4ru4|陷入
ti3zhang3|体长
yi2du4|一度
hu4xiang1|互相
xie2zhu4|协助
gong1ye4|工业
she4ji2|涉及
xiang1si4|相似
gui1mo2|规模
bing4yu2|并于
chi2xu4|持续
te4se4|特色
lei4xing2|类型
yi2zhi4|一致
zhu3jiao4|主教
da4chen2|大臣
dian4zi5|电子
di4qi1|第七
gui1hua4|规划
bei3fang1|北方
yin3qing2|引擎
you3xian4|有限
shen1du4|深度
huang2jia1|皇家
tong1dao4|通道
ding4yi4|定义
fa3an4|法案
zhi4zao4|制造
cheng2ben3|成本
yi4hui4|议会
sui4dao4|隧道
tuan2ti3|团体
da4yue1|大约
dong1nan2|东南
tong3yi1|统一
dong1bei3|东北
yi3wai4|以外
li4yi4|利益
gu3dai4|古代
ming2wei4|名为
guang3fan4|广泛
gai3wei2|改为
wu4li3|物理
te4zheng1|特征
yi4yuan2|议员
xue2zhe3|学者
kai1fang4|开放
hai3wai4|海外
zhe4shi4|这是
jin1ri4|今日
xian1hou4|先后
chu1ren4|出任
bu4de2|不得
you4ming2|又名
gong1ren2|工人
min2guo2|民国
he2bing4|合并
xia4jiang4|下降
shao4nian2|少年
qi1xi1|栖息
xiao3shuo1|小说
yin3zhong3|引种
zhi3hui1|指挥
ao4men2|澳门
fu2jian4|福建
shi4shi4|逝世
yuan2shi3|原始
zi4mu3|字母
jia1zhong1|家中
zuo3you4|左右
da3suan4|打算
chai1chu2|拆除
chao2ting2|朝廷
jia1jing4|嘉靖
chang2chang2|常常
guang3bo1|广播
fang1bian4|方便
xiao1shi1|消失
ji4zai3|记载
she4zhi4|设置
bu4duan4|不断
fang2wu1|房屋
chao2xian1|朝鲜
bi4ye4|毕业
zhong1bu4|中部
ge4zi4|各自
wai4jiao1|外交
lian2sai4|联赛
wu3tai2|舞台
liang2hao3|良好
gong1kai1|公开
yuan2ming2|原名
ji1yu2|基于
tian1jin1|天津
xing4neng2|性能
bing4zai4|并在
bu4shi4|不适
zhong1xun2|中旬
fu4kuan3|付款
fen4e2|份额
bo2jue2|伯爵
ban4|伴
he2bi4|何必
yi1tuo1|依托
qin1ru4|侵入
xin4yu4|信誉
guang1xian4|光线
ke4la1|克拉
ru4yu4|入狱
qi2jian1|其间
cou4|凑
ju4lie4|剧烈
gong1lv4|功率
dong4luan4|动乱
dong4yong4|动用
shi2yi1yue4|十一月
hua2xia4|华夏
ka3pian4|卡片
xi3yue4|喜悦
tuan2zhang3|团长
fu4su1|复苏
wai4di4|外地
wai4yu3|外语
wai4zhang3|外长
da4ma1|大妈
da4yu3|大雨
nv3lang2|女郎
nai3fen3|奶粉
jie3|姐
zhai2|宅
an1quan2xing4|安全性
xiao3huo3zi5|小伙子
ni2ke4|尼克
dai4tou2|带头
fu2du4|幅度
jian4zhi4|建制
kai1ye4|开业
gui1lai2|归来
gui1huan2|归还
xin1yi4|心意
kong3he4|恐吓
guan4li4|惯例
shan4|扇
kang4ri4zhan4zheng1|抗日战争
tan4ce4|探测
tui1song4|推送
sou1xun2|搜寻
fang4guo4|放过
san4fa4|散发
zheng3zheng3|整整
xin1yi2dai4|新一代
xin1ren4|新任
xing1ji4|星际
jin4sheng1|晋升
jin4ji2|晋级
zui4shao3|最少
zui4mei3|最美
lai2yuan2yu2|来源于
mo2|模
bi3lv4|比率
min2zu2zhu3yi4|民族主义
shui3li4|水利
liu2xie3|流血
tu2|涂
yong3xian4|涌现
hun4ning2tu3|混凝土
huo3li4|火力
hui1se4|灰色
re4nao4|热闹
kuang2re4|狂热
hou2zi5|猴子
qin2|琴
bai3fen1dian3|百分点
sheng3zheng4fu3|省政府
qiu1tian1|秋天
cheng1zuo4|称作
guan3li3ju2|管理局
su4cai2|素材
fan2zhi2|繁殖
zhong1duan1|终端
lv4hua4|绿化
huan3he2|缓和
ji1fu1|肌肤
mo2|膜
hang2tian1|航天
hang2xing2|航行
xu1gou4|虚构
cai2ding4|裁定
jie3jue2wen4ti2|解决问题
yi4lun4|议论
ci2yu3|词语
wei4|谓
cai2wu4|财物
ze2|责
tan1lan2|贪婪
shen1hou4|身后
zao4jiu4|造就
na4nian2|那年
shan3dian4|闪电
pei2ban4|陪伴
diao1xiang4|雕像
diao1su4|雕塑
zhen4dong4|震动
wei2|韦
ji1e4|饥饿
xiang1yan1|香烟
yi1qian1|一千
shang4chuang2|上床
liang3dian3|两点
yan2mi4|严密
zhong1yang1zheng4fu3|中央政府
wei4ming2|为名
zhu3ye4|主页
jiu3ge4|九个
jiu3zhou1|九州
shu1fa3|书法
shu1mian4|书面
jiao1cha1|交叉
yi3zhi4|以至
chuan2dao4|传到
di1xia4|低下
ti3yu4chang3|体育场
zhai4|债
nei4cun2|内存
zai4sheng1|再生
ning2ju4|凝聚
ji3zhong3|几种
chu1shi4|出事
lie4ju3|列举
shi2liu4|十六
nan2ya4|南亚
can1zhao4|参照
zhi3xiang3|只想
ke3bei1|可悲
zhou1er4|周二
guo2du4|国度
sheng4ren2|圣人
zuo4biao1|坐标
ping2|坪
yu4|域
tian2bu3|填补
zhuang4da4|壮大
chu3li3qi4|处理器
tian1ti3|天体
duo2guan4|夺冠
zi5gong1|子宫
ning4ke3|宁可
rong2ren3|容忍
kuan1rong2|宽容
liao2|寮
ju2xian4|局限
wu1zi5|屋子
wu1li3|屋里
zhan3xin1|崭新
you4er2|幼儿
yin3ling3|引领
zhong1shi2|忠实
nian4tou5|念头
kong3long2|恐龙
gan3mao4|感冒
da3duan4|打断
tou2ji1|投机
bao4kan1|报刊
dan1|担
an4niu3|按钮
bu3yu2|捕鱼
tui1te4shang4|推特上
jie1shi4|揭示
fang4shou3|放手
xin1ban3|新版
wu2di2|无敌
jiu4jin1shan1|旧金山
xing1qi1ri4|星期日
pu3tong1hua4|普通话
ben3shi4|本事
shu4yu3|术语
tiao2wen2|条文
biao1zhun3hua4|标准化
jiao4dui4|校对
lou2shang4|楼上
