row,word,english_meaning,word_tier,english_meaning_tier,kid_safe,also_in_ja,flags,verdict (keep/fix/cut),fix_word,fix_meaning,note
1,abrigo,coat,easy,easy,yes,no,sense-check,,,,
2,abrir,open,easy,easy,yes,yes,sense-check,,,,
3,agua,water,easy,medium,yes,yes,,,,,
4,ahora,now,easy,easy,yes,yes,,,,,
5,aldea,village,easy,hard,yes,yes,,,,,
6,allí,there,easy,medium,yes,yes,,,,,
7,alma,soul,easy,easy,yes,yes,,,,,
8,amarillo,yellow,hard,medium,yes,yes,,,,,
9,amigo,friend,easy,medium,yes,yes,,,,,
10,amor,love,easy,easy,yes,yes,,,,,
11,anillo,ring,easy,easy,yes,yes,sense-check,,,,
12,animal,animal,easy,medium,yes,yes,same-spelling-as-english,,,,
13,aquí,here,easy,easy,yes,yes,,,,,
14,arena,sand,easy,easy,yes,yes,,,,,
15,arroz,rice,easy,easy,yes,yes,,,,,
16,arte,art,easy,easy,yes,yes,,,,,
17,autobús,bus,easy,easy,yes,no,,,,,
18,avión,plane,easy,medium,yes,yes,,,,,
19,ayudar,help,easy,easy,yes,yes,,,,,
20,azul,blue,easy,easy,yes,yes,,,,,
21,azúcar,sugar,easy,medium,yes,yes,,,,,
22,año,year,easy,easy,yes,yes,,,,,
23,bailar,dance,easy,medium,yes,yes,,,,,
24,barco,boat,easy,easy,yes,yes,,,,,
25,bebé,baby,easy,easy,yes,yes,,,,,
26,bien,well,easy,easy,yes,yes,sense-check,,,,
27,blanco,white,easy,medium,yes,yes,,,,,
28,boca,mouth,easy,easy,yes,yes,,,,,
29,brazo,arm,easy,easy,yes,yes,,,,,
30,bueno,good,easy,easy,yes,yes,,,,,
31,buque,ship,easy,easy,yes,no,,,,,
32,caballo,horse,easy,easy,yes,yes,,,,,
33,cabeza,head,easy,easy,yes,yes,sense-check,,,,
34,cadena,chain,easy,medium,yes,yes,,,,,
35,caja,box,easy,easy,yes,yes,sense-check,,,,
36,calcetín,sock,hard,easy,yes,yes,,,,,
37,caliente,hot,medium,easy,yes,yes,,,,,
38,calle,street,easy,medium,yes,yes,,,,,
39,cama,bed,easy,easy,yes,no,,,,,
40,caminar,walk,easy,easy,yes,yes,,,,,
41,campo,field,easy,medium,yes,yes,,,,,
42,canción,song,easy,easy,yes,yes,,,,,
43,carne,meat,easy,easy,yes,yes,,,,,
44,carretera,road,hard,easy,yes,yes,,,,,
45,carta,letter,easy,medium,yes,yes,sense-check,,,,
46,casa,house,easy,medium,yes,yes,,,,,
47,cerdo,pig,easy,easy,yes,yes,,,,,
48,cerrar,close,easy,medium,yes,yes,,,,,
49,chica,girl,easy,easy,yes,yes,,,,,
50,cielo,sky,easy,easy,yes,yes,,,,,
51,cien,hundred,easy,hard,yes,yes,,,,,
52,cima,top,easy,easy,yes,yes,sense-check,,,,
53,cinco,five,easy,easy,yes,yes,,,,,
54,ciudad,city,easy,easy,yes,yes,,,,,
55,clase,class,easy,medium,yes,yes,,,,,
56,coche,car,easy,easy,yes,yes,,,,,
57,cocina,kitchen,easy,medium,yes,yes,,,,,
58,colina,hill,easy,easy,yes,yes,,,,,
59,color,color,easy,medium,yes,yes,same-spelling-as-english,,,,
60,comer,eat,easy,easy,yes,yes,,,,,
61,comida,food,easy,easy,yes,yes,,,,,
62,comprar,buy,easy,easy,yes,yes,,,,,
63,computadora,computer,hard,medium,yes,no,,,,,
64,construir,build,expert,medium,yes,yes,,,,,
65,corazón,heart,easy,medium,yes,yes,,,,,
66,correr,run,easy,easy,yes,yes,sense-check,,,,
67,corto,short,easy,medium,yes,yes,,,,,
68,cuadrado,square,hard,medium,yes,yes,sense-check,,,,
69,cuatro,four,easy,easy,yes,yes,,,,,
70,cuenco,bowl,easy,easy,yes,yes,,,,,
71,cuerpo,body,easy,easy,yes,yes,,,,,
72,cálido,warm,easy,easy,yes,yes,,,,,
73,cámara,camera,easy,medium,yes,no,,,,,
74,círculo,circle,easy,medium,yes,yes,,,,,
75,dar,give,easy,easy,yes,yes,,,,,
76,derecho,right,easy,medium,yes,yes,sense-check,,,,
77,diez,ten,easy,easy,yes,yes,,,,,
78,difícil,hard,easy,easy,yes,yes,sense-check,,,,
79,dinero,money,easy,medium,yes,yes,,,,,
80,dios,god,easy,easy,yes,no,,,,,
81,dolor,pain,easy,easy,yes,yes,,,,,
82,dos,two,easy,easy,yes,yes,,,,,
83,débil,weak,easy,easy,yes,yes,,,,,
84,día,day,easy,easy,yes,yes,,,,,
85,empezar,start,easy,medium,yes,yes,,,,,
86,empujar,push,easy,easy,yes,yes,,,,,
87,encontrar,find,expert,easy,yes,yes,,,,,
88,entonces,then,hard,easy,yes,no,,,,,
89,enviar,send,easy,easy,yes,yes,,,,,
90,escribir,write,hard,medium,yes,yes,,,,,
91,escuela,school,easy,medium,yes,yes,,,,,
92,espalda,back,easy,easy,yes,yes,sense-check,,,,
93,esperanza,hope,expert,easy,yes,yes,,,,,
94,espíritu,spirit,hard,medium,yes,no,,,,,
95,este,east,easy,easy,yes,yes,,,,,
96,estrella,star,hard,easy,yes,yes,sense-check,,,,
97,estudiante,student,expert,hard,yes,yes,,,,,
98,familia,family,easy,medium,yes,yes,,,,,
99,flor,flower,easy,easy,yes,yes,,,,,
100,fondo,bottom,easy,medium,yes,no,,,,,
101,forma,shape,easy,medium,yes,yes,,,,,
102,frente,front,easy,medium,yes,yes,,,,,
103,fresco,cool,easy,easy,yes,yes,,,,,
104,frío,cold,easy,easy,yes,yes,sense-check,,,,
105,fuego,fire,easy,easy,yes,no,sense-check,,,,
106,fuerte,strong,easy,medium,yes,yes,,,,,
107,fácil,easy,easy,easy,yes,yes,,,,,
108,gato,cat,easy,easy,yes,yes,,,,,
109,gente,people,easy,medium,yes,yes,,,,,
110,grande,big,easy,easy,yes,yes,,,,,
111,granja,farm,easy,easy,yes,yes,,,,,
112,gris,gray,easy,easy,yes,yes,,,,,
113,guerra,war,easy,easy,yes,yes,,,,,
114,gustar,like,easy,easy,yes,yes,,,,,
115,habitación,room,expert,easy,yes,yes,,,,,
116,hablar,speak,easy,medium,yes,yes,,,,,
117,hacer,make,easy,easy,yes,yes,,,,,
118,hermana,sister,easy,medium,yes,yes,,,,,
119,hermano,brother,easy,medium,yes,yes,,,,,
120,herramienta,tool,expert,easy,yes,yes,,,,,
121,hielo,ice,easy,easy,yes,yes,,,,,
122,hierba,grass,easy,easy,yes,yes,,,,,
123,hierro,iron,easy,easy,yes,yes,,,,,
124,hijo,son,easy,easy,yes,yes,,,,,
125,historia,story,hard,medium,yes,yes,sense-check,,,,
126,hoja,leaf,easy,easy,yes,yes,,,,,
127,hombre,man,easy,easy,yes,yes,,,,,
128,hora,hour,easy,easy,yes,no,,,,,
129,hospital,hospital,hard,medium,yes,yes,same-spelling-as-english,,,,
130,hoy,today,easy,medium,yes,yes,,,,,
131,hueso,bone,easy,easy,yes,yes,,,,,
132,huevo,egg,easy,easy,yes,yes,,,,,
133,humo,smoke,easy,easy,yes,yes,,,,,
134,iglesia,church,easy,medium,yes,yes,,,,,
135,imagen,picture,easy,medium,yes,yes,,,,,
136,invierno,winter,hard,medium,yes,yes,,,,,
137,isla,island,easy,medium,yes,yes,,,,,
138,izquierda,left,expert,easy,yes,yes,sense-check,,,,
139,juego,game,easy,easy,yes,no,,,,,
140,jugar,play,easy,easy,yes,yes,sense-check,,,,
141,lago,lake,easy,easy,yes,yes,,,,,
142,largo,long,easy,easy,yes,yes,sense-check,,,,
143,leche,milk,easy,easy,yes,yes,,,,,
144,leer,read,easy,easy,yes,yes,,,,,
145,lento,slow,easy,easy,yes,yes,,,,,
146,ley,law,easy,easy,yes,yes,,,,,
147,libro,book,easy,easy,yes,yes,sense-check,,,,
148,llave,key,easy,easy,yes,yes,sense-check,,,,
149,llevar,carry,easy,medium,yes,yes,,,,,
150,lluvia,rain,easy,easy,yes,yes,,,,,
151,lobo,wolf,easy,easy,yes,yes,,,,,
152,luna,moon,easy,easy,yes,yes,,,,,
153,luz,light,easy,medium,yes,yes,sense-check,,,,
154,lámpara,lamp,easy,easy,yes,no,,,,,
155,línea,line,easy,easy,yes,no,sense-check,,,,
156,madera,wood,easy,easy,yes,no,,,,,
157,madre,mother,easy,medium,yes,yes,,,,,
158,maestro,teacher,easy,hard,yes,yes,,,,,
159,malo,bad,easy,easy,yes,yes,,,,,
160,mano,hand,easy,easy,yes,yes,sense-check,,,,
161,mar,sea,easy,easy,yes,yes,,,,,
162,mañana,morning,easy,hard,yes,yes,,,,,
163,medicina,medicine,hard,hard,yes,yes,,,,,
164,medio,middle,easy,medium,yes,yes,,,,,
165,mercado,market,easy,medium,yes,yes,,,,,
166,mes,month,easy,medium,yes,no,,,,,
167,mesa,table,easy,medium,yes,yes,sense-check,,,,
168,metal,metal,easy,medium,yes,yes,same-spelling-as-english,,,,
169,miedo,fear,easy,easy,yes,yes,,,,,
170,mil,thousand,easy,hard,yes,yes,,,,,
171,mirar,look,easy,easy,yes,yes,,,,,
172,mojado,wet,easy,easy,yes,yes,,,,,
173,moneda,coin,easy,easy,yes,yes,,,,,
174,montaña,mountain,easy,medium,yes,yes,,,,,
175,muerte,death,easy,medium,no,yes,word-kid-excluded,,,,
176,mujer,woman,easy,medium,yes,yes,,,,,
177,mundo,world,easy,medium,yes,yes,,,,,
178,máquina,machine,easy,medium,yes,yes,,,,,
179,música,music,easy,medium,yes,yes,,,,,
180,nación,nation,easy,medium,yes,yes,,,,,
181,nadar,swim,easy,easy,yes,yes,,,,,
182,nariz,nose,easy,easy,yes,no,,,,,
183,naturaleza,nature,expert,medium,yes,yes,,,,,
184,necesitar,need,hard,easy,yes,yes,,,,,
185,negro,black,easy,medium,yes,yes,,,,,
186,nieve,snow,easy,easy,yes,yes,,,,,
187,niño,child,easy,medium,yes,yes,,,,,
188,no,no,easy,easy,yes,yes,same-spelling-as-english,,,,
189,noche,night,easy,medium,yes,yes,,,,,
190,nombre,name,easy,easy,yes,yes,,,,,
191,norte,north,easy,medium,yes,yes,,,,,
192,nube,cloud,easy,easy,yes,yes,,,,,
193,nueve,nine,easy,easy,yes,yes,,,,,
194,nuevo,new,easy,easy,yes,yes,,,,,
195,nunca,never,easy,medium,yes,yes,,,,,
196,número,number,easy,medium,yes,yes,,,,,
197,ocho,eight,easy,medium,yes,yes,,,,,
198,oeste,west,easy,easy,yes,yes,,,,,
199,ojo,eye,easy,easy,yes,yes,,,,,
200,ola,wave,easy,easy,yes,yes,sense-check,,,,
201,oreja,ear,easy,easy,yes,yes,,,,,
202,oro,gold,easy,easy,yes,yes,,,,,
203,oscuro,dark,easy,easy,yes,yes,,,,,
204,oso,bear,easy,easy,yes,yes,sense-check,,,,
205,padre,father,easy,medium,yes,yes,,,,,
206,pagar,pay,easy,easy,yes,yes,,,,,
207,palabra,word,easy,easy,yes,yes,,,,,
208,papel,paper,easy,medium,yes,no,,,,,
209,parar,stop,easy,easy,yes,yes,,,,,
210,pared,wall,easy,easy,yes,yes,,,,,
211,pato,duck,easy,easy,yes,yes,sense-check,,,,
212,paz,peace,easy,medium,yes,yes,,,,,
213,país,country,easy,hard,yes,yes,,,,,
214,pelo,hair,easy,easy,yes,yes,,,,,
215,pelota,ball,easy,easy,yes,no,,,,,
216,película,film,hard,easy,yes,yes,,,,,
217,pensar,think,easy,medium,yes,yes,,,,,
218,pequeño,small,easy,medium,yes,yes,,,,,
219,perder,lose,easy,easy,yes,yes,,,,,
220,perro,dog,easy,easy,yes,yes,,,,,
221,pez,fish,easy,easy,yes,yes,,,,,
222,pie,foot,easy,easy,yes,yes,sense-check,,,,
223,piedra,stone,easy,medium,yes,yes,,,,,
224,piel,skin,easy,easy,yes,yes,,,,,
225,pierna,leg,easy,easy,yes,no,,,,,
226,planta,plant,easy,medium,yes,yes,sense-check,,,,
227,plata,silver,easy,medium,yes,yes,,,,,
228,plato,plate,easy,medium,yes,yes,,,,,
229,plástico,plastic,medium,hard,yes,no,,,,,
230,poder,power,easy,medium,yes,yes,,,,,
231,poema,poem,easy,easy,yes,no,,,,,
232,precio,price,easy,medium,yes,yes,,,,,
233,primavera,spring,expert,medium,yes,yes,sense-check,,,,
234,pueblo,town,easy,easy,yes,no,,,,,
235,puente,bridge,easy,medium,yes,yes,,,,,
236,puerta,door,easy,easy,yes,yes,,,,,
237,punto,point,easy,medium,yes,yes,sense-check,,,,
238,página,page,easy,easy,yes,no,,,,,
239,pájaro,bird,easy,easy,yes,yes,,,,,
240,querer,want,easy,easy,yes,yes,,,,,
241,ratón,mouse,easy,easy,yes,yes,,,,,
242,raíz,root,easy,easy,yes,yes,,,,,
243,regalo,gift,easy,easy,yes,yes,,,,,
244,reina,queen,easy,medium,yes,yes,,,,,
245,rey,king,easy,easy,yes,yes,,,,,
246,roca,rock,easy,easy,yes,yes,sense-check,,,,
247,rojo,red,easy,easy,yes,yes,,,,,
248,romper,break,easy,medium,yes,yes,sense-check,,,,
249,ruido,noise,easy,medium,yes,yes,,,,,
250,rápido,fast,easy,easy,yes,yes,,,,,
251,río,river,easy,medium,yes,yes,,,,,
252,saber,know,easy,easy,yes,yes,,,,,
253,sal,salt,easy,easy,yes,yes,,,,,
254,saltar,jump,easy,easy,yes,no,,,,,
255,salud,health,easy,medium,yes,yes,,,,,
256,sangre,blood,easy,medium,no,yes,word-kid-excluded meaning-kid-excluded,,,,
257,seco,dry,easy,easy,yes,yes,,,,,
258,seis,six,easy,easy,yes,yes,,,,,
259,semana,week,easy,easy,yes,yes,,,,,
260,semilla,seed,easy,easy,yes,yes,,,,,
261,siempre,always,easy,medium,yes,yes,,,,,
262,siete,seven,easy,medium,yes,yes,,,,,
263,sol,sun,easy,easy,yes,yes,,,,,
264,sombrero,hat,medium,easy,yes,yes,,,,,
265,sonido,sound,easy,medium,yes,yes,sense-check,,,,
266,sostener,hold,hard,easy,yes,yes,,,,,
267,suave,soft,easy,easy,yes,yes,,,,,
268,suelo,floor,easy,medium,yes,yes,,,,,
269,sur,south,easy,medium,yes,yes,,,,,
270,tamaño,size,easy,easy,yes,yes,,,,,
271,taza,cup,easy,easy,yes,no,,,,,
272,techo,roof,easy,easy,yes,yes,,,,,
273,tiempo,time,easy,easy,yes,yes,sense-check,,,,
274,tienda,shop,easy,easy,yes,yes,,,,,
275,tierra,earth,easy,medium,yes,yes,,,,,
276,tirar,pull,easy,easy,yes,yes,,,,,
277,tomar,take,easy,easy,yes,yes,,,,,
278,trabajo,work,easy,easy,yes,yes,,,,,
279,traer,bring,easy,medium,yes,no,,,,,
280,tren,train,easy,medium,yes,yes,sense-check,,,,
281,tres,three,easy,medium,yes,yes,,,,,
282,té,tea,easy,easy,yes,yes,,,,,
283,uno,one,easy,easy,yes,yes,,,,,
284,vaso,glass,easy,medium,yes,no,sense-check,,,,
285,vender,sell,easy,easy,yes,yes,,,,,
286,ventana,window,easy,easy,yes,yes,,,,,
287,verano,summer,easy,medium,yes,yes,,,,,
288,verde,green,easy,medium,yes,yes,,,,,
289,viajar,travel,easy,medium,yes,yes,,,,,
290,vida,life,easy,easy,yes,yes,,,,,
291,viejo,old,easy,easy,yes,yes,,,,,
292,viento,wind,easy,easy,yes,yes,sense-check,,,,
293,vino,wine,easy,easy,no,no,word-kid-excluded meaning-kid-excluded,,,,
294,voz,voice,easy,medium,yes,yes,,,,,
295,zorro,fox,easy,easy,yes,yes,,,,,
296,árbol,tree,easy,easy,yes,yes,,,,,
