row,word,english_meaning,word_tier,english_meaning_tier,kid_safe,also_in_es,flags,verdict (keep/fix/cut),fix_word,fix_meaning,note
1,あい,love,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
2,あお,blue,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
3,あか,red,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
4,あかちゃん,baby,medium,easy,yes,yes,,,,,
5,あける,open,expert,easy,yes,yes,sense-check,,,,
6,あげる,give,easy,easy,yes,yes,,,,,
7,あさ,morning,easy,hard,yes,yes,short-hiragana-homophone-risk,,,,
8,あし,foot,expert,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
9,あそぶ,play,expert,easy,yes,yes,sense-check,,,,
10,あたたかい,warm,expert,easy,yes,yes,,,,,
11,あたま,head,easy,easy,yes,yes,sense-check,,,,
12,あたらしい,new,expert,easy,yes,yes,,,,,
13,あつい,hot,expert,easy,yes,yes,,,,,
14,あに,brother,expert,medium,yes,yes,short-hiragana-homophone-risk,,,,
15,あね,sister,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
16,あひる,duck,expert,easy,yes,yes,sense-check,,,,
17,あめ,rain,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
18,あるく,walk,expert,easy,yes,yes,,,,,
19,いいえ,no,medium,easy,yes,yes,,,,,
20,いえ,house,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
21,いし,stone,medium,medium,yes,yes,short-hiragana-homophone-risk,,,,
22,いたみ,pain,expert,easy,yes,yes,,,,,
23,いち,one,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
24,いちば,market,easy,medium,yes,yes,,,,,
25,いつも,always,easy,medium,yes,yes,,,,,
26,いど,well,hard,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
27,いぬ,dog,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
28,いのち,life,expert,easy,yes,yes,,,,,
29,いま,now,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
30,いろ,color,medium,medium,yes,yes,short-hiragana-homophone-risk,,,,
31,いわ,rock,medium,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
32,うえ,top,expert,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
33,うしろ,back,easy,easy,yes,yes,sense-check,,,,
34,うた,song,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
35,うで,arm,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
36,うま,horse,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
37,うみ,sea,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
38,うる,sell,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
39,え,picture,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
40,えいが,film,easy,easy,yes,yes,,,,,
41,おう,king,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
42,おおかみ,wolf,medium,easy,yes,yes,,,,,
43,おおきい,big,expert,easy,yes,yes,,,,,
44,おおきさ,size,hard,easy,yes,yes,,,,,
45,おか,hill,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
46,おかね,money,easy,medium,yes,yes,,,,,
47,おくりもの,gift,medium,easy,yes,yes,,,,,
48,おくる,send,expert,easy,yes,yes,,,,,
49,おす,push,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
50,おそい,slow,expert,easy,yes,yes,,,,,
51,おそれ,fear,medium,easy,yes,yes,,,,,
52,おちゃ,tea,medium,easy,yes,yes,,,,,
53,おと,sound,hard,medium,yes,yes,sense-check short-hiragana-homophone-risk,,,,
54,おとこ,man,easy,easy,yes,yes,,,,,
55,おとこのこ,boy,medium,easy,yes,no,,,,,
56,おどり,dance,expert,medium,yes,yes,,,,,
57,およぐ,swim,expert,easy,yes,yes,,,,,
58,おんがく,music,easy,medium,yes,yes,,,,,
59,おんな,woman,expert,medium,yes,yes,,,,,
60,おんなのこ,girl,easy,easy,yes,yes,,,,,
61,かう,buy,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
62,かぎ,key,expert,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
63,かく,write,medium,medium,yes,yes,short-hiragana-homophone-risk,,,,
64,かず,number,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
65,かぜ,wind,expert,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
66,かぞく,family,easy,medium,yes,yes,,,,,
67,かたい,hard,expert,easy,yes,yes,sense-check,,,,
68,かたち,shape,hard,medium,yes,yes,,,,,
69,かべ,wall,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
70,かみ,hair,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
71,からだ,body,easy,easy,yes,yes,,,,,
72,かわ,river,expert,medium,yes,yes,short-hiragana-homophone-risk,,,,
73,かわく,dry,expert,easy,yes,yes,,,,,
74,かんがえる,think,expert,medium,yes,yes,,,,,
75,がくせい,student,easy,hard,yes,yes,,,,,
76,がっこう,school,easy,medium,yes,yes,,,,,
77,き,tree,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
78,きいろ,yellow,expert,medium,yes,yes,,,,,
79,きかい,machine,easy,medium,yes,yes,,,,,
80,きた,north,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
81,きつね,fox,expert,easy,yes,yes,,,,,
82,きぼう,hope,easy,easy,yes,yes,,,,,
83,きゅう,nine,hard,easy,yes,yes,,,,,
84,きょう,today,medium,medium,yes,yes,,,,,
85,きょうかい,church,medium,medium,yes,yes,,,,,
86,きん,gold,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
87,きんぞく,metal,medium,medium,yes,yes,,,,,
88,ぎゅうにゅう,milk,expert,easy,yes,yes,,,,,
89,ぎん,silver,hard,medium,yes,yes,short-hiragana-homophone-risk,,,,
90,くさ,grass,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
91,くさり,chain,expert,medium,yes,yes,,,,,
92,くすり,medicine,expert,hard,yes,yes,,,,,
93,くち,mouth,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
94,くつした,sock,expert,easy,yes,yes,,,,,
95,くに,country,hard,hard,yes,yes,short-hiragana-homophone-risk,,,,
96,くま,bear,medium,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
97,くみ,class,expert,medium,yes,yes,short-hiragana-homophone-risk,,,,
98,くも,cloud,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
99,くらい,dark,easy,easy,yes,yes,,,,,
100,くるま,car,expert,easy,yes,yes,,,,,
101,くろ,black,hard,medium,yes,yes,short-hiragana-homophone-risk,,,,
102,けっして,never,expert,medium,yes,yes,,,,,
103,けむり,smoke,expert,easy,yes,yes,,,,,
104,けんこう,health,expert,medium,yes,yes,,,,,
105,げいじゅつ,art,medium,easy,yes,yes,,,,,
106,こうか,coin,easy,easy,yes,yes,,,,,
107,こえ,voice,hard,medium,yes,yes,short-hiragana-homophone-risk,,,,
108,こおり,ice,expert,easy,yes,yes,,,,,
109,ここ,here,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
110,こころ,heart,medium,medium,yes,yes,,,,,
111,こっか,nation,easy,medium,yes,yes,,,,,
112,ことば,word,hard,easy,yes,yes,,,,,
113,こども,child,medium,medium,yes,yes,,,,,
114,こめ,rice,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
115,こわす,break,expert,medium,yes,yes,sense-check,,,,
116,ご,five,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
117,さかな,fish,expert,easy,yes,yes,,,,,
118,さとう,sugar,expert,medium,yes,yes,,,,,
119,さむい,cold,expert,easy,yes,yes,sense-check,,,,
120,さら,plate,medium,medium,yes,yes,short-hiragana-homophone-risk,,,,
121,さん,three,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
122,し,death,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
123,しお,salt,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
124,しかく,square,expert,medium,yes,yes,sense-check,,,,
125,しごと,work,easy,easy,yes,yes,,,,,
126,しぜん,nature,easy,medium,yes,yes,,,,,
127,しま,island,medium,medium,yes,yes,short-hiragana-homophone-risk,,,,
128,しめる,close,expert,medium,yes,yes,,,,,
129,しゅう,week,expert,easy,yes,yes,,,,,
130,しょくぶつ,plant,medium,medium,yes,yes,sense-check,,,,
131,しる,know,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
132,しろ,white,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
133,じかん,time,easy,easy,yes,yes,sense-check,,,,
134,じゅう,ten,hard,easy,yes,yes,,,,,
135,じょおう,queen,medium,medium,yes,yes,,,,,
136,すき,like,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
137,すずしい,cool,expert,easy,yes,yes,,,,,
138,すな,sand,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
139,せかい,world,easy,medium,yes,yes,,,,,
140,せん,thousand,easy,hard,yes,yes,short-hiragana-homophone-risk,,,,
141,せんせい,teacher,expert,hard,yes,yes,,,,,
142,せんそう,war,easy,easy,yes,yes,,,,,
143,そうおん,noise,hard,medium,yes,yes,,,,,
144,そこ,there,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
145,そら,sky,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
146,たいよう,sun,expert,easy,yes,yes,,,,,
147,たすける,help,expert,easy,yes,yes,,,,,
148,たてる,build,expert,medium,yes,yes,,,,,
149,たね,seed,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
150,たべもの,food,medium,easy,yes,yes,,,,,
151,たべる,eat,expert,easy,yes,yes,,,,,
152,たまご,egg,medium,easy,yes,yes,,,,,
153,たましい,soul,easy,easy,yes,yes,,,,,
154,だいどころ,kitchen,hard,medium,yes,yes,,,,,
155,ち,blood,easy,medium,no,yes,short-hiragana-homophone-risk meaning-kid-excluded,,,,
156,ちいさい,small,expert,medium,yes,yes,,,,,
157,ちから,power,easy,medium,yes,yes,,,,,
158,ちきゅう,earth,easy,medium,yes,yes,,,,,
159,ちち,father,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
160,つき,moon,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
161,つくえ,table,medium,medium,yes,yes,sense-check,,,,
162,つくる,make,medium,easy,yes,yes,,,,,
163,つよい,strong,expert,medium,yes,yes,,,,,
164,て,hand,easy,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
165,てがみ,letter,medium,medium,yes,yes,sense-check,,,,
166,てつ,iron,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
167,てん,point,easy,medium,yes,yes,sense-check short-hiragana-homophone-risk,,,,
168,でんしゃ,train,easy,medium,yes,yes,sense-check,,,,
169,ときどき,sometimes,hard,expert,yes,no,,,,,
170,とし,year,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
171,とびら,door,medium,easy,yes,yes,,,,,
172,とまる,stop,expert,easy,yes,yes,,,,,
