word1	word2	tier	diff
あき	き	easy	del@1:-あ
あめ	め	easy	del@1:-あ
えき	き	easy	del@1:-え
かめ	め	easy	del@1:-か
き	たき	easy	ins@1:+た
き	つき	easy	ins@1:+つ
こめ	め	easy	del@1:-こ
と	とら	easy	ins@2:+ら
と	とり	easy	ins@2:+り
あお	あか	easy	sub@2:お→か
あお	あき	easy	sub@2:お→き
あお	あさ	easy	sub@2:お→さ
あお	あし	easy	sub@2:お→し
あお	あめ	easy	sub@2:お→め
あお	かお	easy	sub@1:あ→か
あお	しお	easy	sub@1:あ→し
あか	あき	easy	sub@2:か→き
あか	あさ	easy	sub@2:か→さ
あか	あし	easy	sub@2:か→し
あか	あめ	easy	sub@2:か→め
あか	しか	easy	sub@1:あ→し
あき	あさ	easy	sub@2:き→さ
あき	あし	easy	sub@2:き→し
あき	あめ	easy	sub@2:き→め
あき	えき	easy	sub@1:あ→え
あき	たき	easy	sub@1:あ→た
あき	つき	easy	sub@1:あ→つ
あさ	あし	easy	sub@2:さ→し
あさ	あめ	easy	sub@2:さ→め
あし	あめ	easy	sub@2:し→め
あし	いし	easy	sub@1:あ→い
あし	うし	easy	sub@1:あ→う
あめ	かめ	easy	sub@1:あ→か
あめ	こめ	easy	sub@1:あ→こ
いえ	いけ	easy	sub@2:え→け
いえ	いし	easy	sub@2:え→し
いえ	いす	easy	sub@2:え→す
いえ	いぬ	easy	sub@2:え→ぬ
いえ	いも	easy	sub@2:え→も
いけ	いし	easy	sub@2:け→し
いけ	いす	easy	sub@2:け→す
いけ	いぬ	easy	sub@2:け→ぬ
いけ	いも	easy	sub@2:け→も
いし	いす	easy	sub@2:し→す
いし	いぬ	easy	sub@2:し→ぬ
いし	いも	easy	sub@2:し→も
いし	うし	easy	sub@1:い→う
いす	いぬ	easy	sub@2:す→ぬ
いす	いも	easy	sub@2:す→も
いぬ	いも	easy	sub@2:ぬ→も
いも	くも	easy	sub@1:い→く
うし	うま	easy	sub@2:し→ま
うし	うみ	easy	sub@2:し→み
うま	うみ	easy	sub@2:ま→み
うま	くま	easy	sub@1:う→く
うま	しま	easy	sub@1:う→し
うみ	かみ	easy	sub@1:う→か
えき	たき	easy	sub@1:え→た
えき	つき	easy	sub@1:え→つ
かお	かみ	easy	sub@2:お→み
かお	かめ	easy	sub@2:お→め
かお	かわ	easy	sub@2:お→わ
かお	しお	easy	sub@1:か→し
かみ	かめ	easy	sub@2:み→め
かみ	かわ	easy	sub@2:み→わ
かめ	かわ	easy	sub@2:め→わ
かめ	こめ	easy	sub@1:か→こ
くち	くつ	easy	sub@2:ち→つ
くち	くま	easy	sub@2:ち→ま
くち	くも	easy	sub@2:ち→も
くち	くろ	easy	sub@2:ち→ろ
くつ	くま	easy	sub@2:つ→ま
くつ	くも	easy	sub@2:つ→も
くつ	くろ	easy	sub@2:つ→ろ
くつ	なつ	easy	sub@1:く→な
くま	くも	easy	sub@2:ま→も
くま	くろ	easy	sub@2:ま→ろ
くま	しま	easy	sub@1:く→し
くも	くろ	easy	sub@2:も→ろ
くろ	しろ	easy	sub@1:く→し
しお	しか	easy	sub@2:お→か
しお	しま	easy	sub@2:お→ま
しお	しろ	easy	sub@2:お→ろ
しか	しま	easy	sub@2:か→ま
しか	しろ	easy	sub@2:か→ろ
しま	しろ	easy	sub@2:ま→ろ
そら	とら	easy	sub@1:そ→と
たき	つき	easy	sub@1:た→つ
とら	とり	easy	sub@2:ら→り
き	て	easy	sub@1:き→て
き	と	easy	sub@1:き→と
き	め	easy	sub@1:き→め
て	と	easy	sub@1:て→と
て	め	easy	sub@1:て→め
と	め	easy	sub@1:と→め
かぜ	かべ	medium	sub@2:ぜ→べ
ちず	みず	medium	sub@1:ち→み
のり	もり	medium	sub@1:の→も
はし	はな	medium	sub@2:し→な
はし	はる	medium	sub@2:し→る
はし	ほし	medium	sub@1:は→ほ
はな	はる	medium	sub@2:な→る
はる	ひる	medium	sub@1:は→ひ
はる	よる	medium	sub@1:は→よ
ひと	ひる	medium	sub@2:と→る
ひる	よる	medium	sub@1:ひ→よ
ふく	ふね	medium	sub@2:く→ね
ふく	ふゆ	medium	sub@2:く→ゆ
ふね	ふゆ	medium	sub@2:ね→ゆ
ふね	やね	medium	sub@1:ふ→や
へび	へや	medium	sub@2:び→や
へび	ゆび	medium	sub@1:へ→ゆ
ほし	ほん	medium	sub@2:し→ん
まち	まど	medium	sub@2:ち→ど
まち	まめ	medium	sub@2:ち→め
まち	みち	medium	sub@1:ま→み
まど	まめ	medium	sub@2:ど→め
みず	みせ	medium	sub@2:ず→せ
みず	みそ	medium	sub@2:ず→そ
みず	みち	medium	sub@2:ず→ち
みず	みみ	medium	sub@2:ず→み
みせ	みそ	medium	sub@2:せ→そ
みせ	みち	medium	sub@2:せ→ち
みせ	みみ	medium	sub@2:せ→み
みそ	みち	medium	sub@2:そ→ち
みそ	みみ	medium	sub@2:そ→み
みち	みみ	medium	sub@2:ち→み
やね	やま	medium	sub@2:ね→ま
ゆか	ゆき	medium	sub@2:か→き
ゆか	ゆび	medium	sub@2:か→び
ゆき	ゆび	medium	sub@2:き→び
さかな	さかなや	hard	ins@4:+や
じかん	みかん	hard	sub@1:じ→み
てんき	でんき	hard	sub@1:て→で
でんき	でんわ	hard	sub@3:き→わ
みなと	みなみ	hard	sub@3:と→み
きのう	きょう	expert	sub@2:の→ょ
