word1	word2	tier	diff
cá	cát	easy	ins@3:+t
bay	tay	easy	sub@1:b→t
bát	bút	easy	sub@2:á→ú
bát	cát	easy	sub@1:b→c
bát	hát	easy	sub@1:b→h
bát	mát	easy	sub@1:b→m
búa	bút	easy	sub@3:a→t
cam	cao	easy	sub@3:m→o
cam	cau	easy	sub@3:m→u
cam	cơm	easy	sub@2:a→ơ
cao	cau	easy	sub@3:o→u
cao	dao	easy	sub@1:c→d
cao	sao	easy	sub@1:c→s
cau	rau	easy	sub@1:c→r
cát	hát	easy	sub@1:c→h
cát	mát	easy	sub@1:c→m
dao	sao	easy	sub@1:d→s
hát	mát	easy	sub@1:h→m
tai	tay	easy	sub@3:i→y
voi	vui	easy	sub@2:o→u
cá	cũ	easy	sub@2:á→ũ
cá	cỏ	easy	sub@2:á→ỏ
cá	lá	easy	sub@1:c→l
cá	đá	easy	sub@1:c→đ
cũ	cỏ	easy	sub@2:ũ→ỏ
cũ	mũ	easy	sub@1:c→m
cỏ	đỏ	easy	sub@1:c→đ
lá	đá	easy	sub@1:l→đ
to	áo	easy	sub@1:t→á
đi	đá	easy	sub@2:i→á
đi	đỏ	easy	sub@2:i→ỏ
đá	đỏ	easy	sub@2:á→ỏ
mít	vít	medium	sub@1:m→v
múa	mưa	medium	sub@2:ú→ư
ngô	ngủ	medium	sub@3:ô→ủ
nhà	nhỏ	medium	sub@3:à→ỏ
nhỏ	thỏ	medium	sub@1:n→t
nói	nón	medium	sub@3:i→n
nói	núi	medium	sub@2:ó→ú
nói	đói	medium	sub@1:n→đ
núi	túi	medium	sub@1:n→t
vít	vịt	medium	sub@2:í→ị
biết	viết	hard	sub@1:b→v
giàu	giày	hard	sub@4:u→y
muối	muốn	hard	sub@4:i→n
sách	sạch	hard	sub@2:á→ạ
mắt	mệt	hard	sub@2:ắ→ệ
rắn	sắn	hard	sub@1:r→s
đầu	đậu	hard	sub@2:ầ→ậ
trường	trưởng	expert	sub@4:ờ→ở
uống	xuống	expert	ins@1:+x
hưởng	xưởng	expert	sub@1:h→x
trăng	trứng	expert	sub@3:ă→ứ
xương	xưởng	expert	sub@3:ơ→ở
rộng	rừng	expert	sub@2:ộ→ừ
rừng	vừng	expert	sub@1:r→v
